query,clicks,impressions,ctr,avg_position
prairie ridge manufacturing,412,488,0.844,1.0
metal fabrication iowa,384,14920,0.026,4.2
5 axis cnc machining iowa,312,6114,0.051,2.1
custom metal brackets,287,22118,0.013,9.7
ag equipment metal parts,241,8442,0.029,6.4
food grade metal fabrication,218,11802,0.018,8.1
custom welded assemblies,188,7012,0.027,5.8
iso 9001 metal fabricator midwest,162,5891,0.027,6.2
laser cutting cedar rapids,144,4202,0.034,5.0
stainless steel machine guards,131,6114,0.021,7.4
prairie ridge manufacturing reviews,118,212,0.557,1.4
custom sheet metal fabrication,109,8442,0.013,7.4
metal fabrication near me,98,12118,0.008,11.2
welding cedar rapids,89,3402,0.026,7.8
iowa metal fabrication shop,82,4118,0.020,8.4
press brake forming services,78,3818,0.020,6.8
prairie ridge cnc,71,142,0.500,1.2
fiber laser cutting iowa,68,2918,0.023,7.0
metal bracket manufacturer,62,5118,0.012,9.4
prairie ridge manufacturing iowa,58,82,0.707,1.0
custom metal parts iowa,55,4002,0.014,8.8
ag equipment fabrication shop,51,2802,0.018,8.4
robotic welding services,48,2402,0.020,7.8
small batch metal fabrication,44,3818,0.012,9.4
prototype metal fabrication,42,3118,0.013,8.8
food processing equipment fabricator,38,2802,0.014,8.6
metal guards food processing,35,2102,0.017,7.2
350 ton press brake services,32,1402,0.023,6.0
isolation panel manufacturer,28,2402,0.012,9.8
laser cutting services iowa,26,2102,0.012,9.0
prairie ridge mfg,24,52,0.462,1.4
welded subassembly manufacturer,22,1802,0.012,9.6
stainless steel fabrication food grade,20,1602,0.012,9.4
cedar rapids metal shop,18,1018,0.018,8.2
agricultural metal parts,17,2402,0.007,11.4
prairie ridge welding,16,38,0.421,1.6
contract metal manufacturer iowa,15,1402,0.011,9.8
high mix low volume metal fab,14,1018,0.014,8.6
job shop fabrication iowa,13,1402,0.009,10.2
food safe metal coating,12,1402,0.009,10.4
midwest metal fabricator,11,1602,0.007,11.2
oem metal parts manufacturer,10,2118,0.005,12.4
sheet metal forming iowa,10,1018,0.010,9.6
food processing stainless guards,9,1018,0.009,10.0
ag equipment bracket manufacturer,9,802,0.011,9.0
machine guards stainless,8,802,0.010,8.8
small parts metal fabrication,8,802,0.010,9.4
prairie ridge 5 axis,8,18,0.444,1.4
iowa welding shop,7,802,0.009,10.4
contract manufacturer iowa,7,802,0.009,10.6
cnc machining iowa,7,1402,0.005,12.0
