date,sessions,users,new_users,pageviews,engaged_sessions,bounce_rate,rfq_submissions,channel
2026-04-01,488,402,302,1342,310,40.8,3,Organic Search
2026-04-01,178,142,98,488,108,44.2,1,Direct
2026-04-01,142,118,82,388,82,42.0,1,Paid Search
2026-04-01,82,68,52,222,48,42.0,1,Referral
2026-04-01,48,40,30,142,28,42.0,0,Email
2026-04-01,22,18,12,68,12,46.0,0,Social
2026-04-02,512,420,318,1402,322,40.2,3,Organic Search
2026-04-02,182,148,102,502,112,44.0,1,Direct
2026-04-02,148,122,88,402,86,42.0,1,Paid Search
2026-04-02,88,72,55,238,52,42.0,1,Referral
2026-04-02,52,42,32,148,30,42.0,0,Email
2026-04-02,24,20,14,72,14,44.0,0,Social
2026-04-03,498,408,308,1378,316,40.4,3,Organic Search
2026-04-03,180,146,100,498,110,44.0,1,Direct
2026-04-03,144,120,85,395,84,42.0,1,Paid Search
2026-04-03,84,70,53,232,50,42.0,1,Referral
2026-04-03,50,42,30,145,29,42.0,0,Email
2026-04-03,22,18,12,70,13,46.0,0,Social
2026-04-04,302,242,182,822,182,40.0,1,Organic Search
2026-04-04,108,88,62,298,68,44.0,0,Direct
2026-04-04,82,68,48,228,48,42.0,0,Paid Search
2026-04-04,48,40,30,138,28,42.0,0,Referral
2026-04-04,28,22,16,82,16,42.0,0,Email
2026-04-04,14,12,8,42,8,46.0,0,Social
2026-04-05,278,222,168,758,168,42.0,1,Organic Search
2026-04-05,98,80,56,272,60,46.0,0,Direct
2026-04-05,72,60,42,202,42,44.0,0,Paid Search
2026-04-05,42,34,26,118,24,44.0,0,Referral
2026-04-05,24,20,14,72,14,44.0,0,Email
2026-04-05,12,10,8,38,8,46.0,0,Social
2026-04-06,512,418,318,1410,322,40.2,3,Organic Search
2026-04-06,184,148,104,506,112,44.0,1,Direct
2026-04-06,148,122,88,402,86,42.0,1,Paid Search
2026-04-06,88,72,55,238,52,42.0,1,Referral
2026-04-06,52,42,32,148,30,42.0,0,Email
2026-04-06,24,20,14,72,14,44.0,0,Social
2026-04-07,524,428,328,1438,326,40.0,3,Organic Search
2026-04-07,188,152,108,514,114,44.0,1,Direct
2026-04-07,152,124,90,408,88,42.0,1,Paid Search
2026-04-07,92,76,58,248,54,42.0,1,Referral
2026-04-07,52,44,32,150,30,42.0,0,Email
2026-04-07,26,22,16,76,14,44.0,0,Social
2026-04-08,538,440,332,1462,330,40.0,3,Organic Search
2026-04-08,192,156,110,522,116,44.0,1,Direct
2026-04-08,154,126,92,412,89,42.0,1,Paid Search
2026-04-08,94,78,60,252,55,42.0,1,Referral
2026-04-08,54,46,33,154,31,42.0,0,Email
2026-04-08,26,22,16,78,14,44.0,0,Social
2026-04-09,548,448,340,1488,332,40.0,3,Organic Search
2026-04-09,198,162,114,532,120,44.0,1,Direct
2026-04-09,158,128,94,418,90,42.0,1,Paid Search
2026-04-09,98,82,62,258,57,42.0,1,Referral
2026-04-09,58,48,34,158,32,42.0,1,Email
2026-04-09,28,24,18,82,16,44.0,0,Social
2026-04-10,512,418,318,1402,322,40.4,3,Organic Search
2026-04-10,184,148,104,506,112,44.2,1,Direct
2026-04-10,148,122,88,402,86,42.2,1,Paid Search
2026-04-10,88,72,55,238,52,42.0,1,Referral
2026-04-10,52,42,32,148,30,42.0,0,Email
2026-04-10,24,20,14,72,14,44.0,0,Social
2026-04-15,288,232,172,792,170,42.0,1,Organic Search
2026-04-15,102,82,58,278,62,46.0,0,Direct
2026-04-15,76,62,44,212,44,44.0,0,Paid Search
2026-04-20,478,392,298,1318,300,40.4,3,Organic Search
2026-04-20,172,138,98,476,106,44.0,1,Direct
2026-04-20,138,114,82,378,82,42.0,1,Paid Search
2026-04-25,498,408,308,1378,316,40.0,3,Organic Search
2026-04-25,180,146,100,498,110,44.0,1,Direct
2026-04-25,144,120,85,395,84,42.0,1,Paid Search
2026-04-30,468,382,288,1290,294,40.0,3,Organic Search
2026-04-30,168,134,96,464,104,44.0,1,Direct
2026-04-30,134,110,80,372,80,42.0,1,Paid Search
