page_path,sessions,users,pageviews,avg_engagement_seconds,bounce_rate,rfq_submissions,rfq_conversion_rate,lcp_75th_ms,inp_75th_ms,cls_75th
/capabilities/cnc-machining,4210,3621,5742,98,42.1,59,0.014,2150,142,0.04
/capabilities/laser-cutting,2114,1822,2891,167,38.4,40,0.019,1980,98,0.05
/quote,1855,1602,2122,59,18.4,345,0.186,1840,92,0.03
/capabilities,1602,1402,2202,111,40.2,27,0.017,1920,95,0.04
/industries/agriculture,1288,1103,1742,202,36.1,12,0.009,2020,99,0.05
/capabilities/welding,1041,902,1311,134,38.8,15,0.014,1980,96,0.04
/capabilities/press-brake,902,791,1141,122,40.0,11,0.012,2020,94,0.05
/case-studies/iowa-ag-oem-bracket-program,811,712,1018,251,28.4,15,0.018,1880,91,0.04
/resources/dfm-checklist,759,672,888,48,52.4,4,0.005,1920,97,0.04
/about,644,562,762,72,44.8,4,0.006,1830,90,0.03
/contact,488,422,572,182,22.4,61,0.125,1840,92,0.04
/capabilities/finishing,422,378,488,118,42.0,5,0.012,1980,96,0.04
/industries/food-processing,388,344,442,201,36.4,4,0.010,2010,99,0.05
/industries/industrial-equipment,344,302,388,158,38.0,3,0.009,1990,97,0.04
/blog/5-axis-cnc-launch,318,288,388,288,29.4,17,0.053,1880,93,0.04
/case-studies,288,256,344,201,33.4,5,0.017,1920,95,0.04
/resources,244,222,288,98,46.0,1,0.004,1840,90,0.03
/resources/material-guide,222,202,256,141,40.4,1,0.005,1880,92,0.04
/resources/tolerance-chart,212,191,244,182,35.4,2,0.009,1900,93,0.04
/resources/dfm-checklist-download,202,184,222,38,72.0,166,0.822,1840,92,0.04
/blog/dfm-checklist-for-ag-oems,188,170,212,201,32.0,3,0.016,1880,93,0.04
/blog/5-axis-cnc-launch,168,151,188,260,30.0,8,0.048,1880,93,0.04
/about/team,148,132,168,88,46.0,1,0.007,1830,90,0.03
/about/certifications,132,122,148,121,42.0,2,0.015,1830,90,0.03
/blog/2026-energy-code-changes,128,118,142,178,38.4,1,0.008,1880,93,0.04
/blog/tolerance-stack-up-basics,122,112,134,168,38.0,2,0.016,1880,93,0.04
/case-studies/cedar-rapids-food-processor,118,108,134,242,28.0,2,0.017,1920,95,0.04
/blog/mig-vs-tig-vs-robotic,98,89,112,158,40.0,1,0.010,1880,93,0.04
/blog/press-brake-vs-stamping,88,80,102,142,42.0,0,0.000,1880,93,0.04
/blog/why-lead-time-beats-unit-cost,82,74,94,158,39.0,1,0.012,1880,93,0.04
/sitemap,42,40,48,28,82.0,0,0.000,1830,90,0.03
/privacy,32,30,38,22,90.0,0,0.000,1830,90,0.03
/terms,28,26,32,18,92.0,0,0.000,1830,90,0.03
/404,22,22,22,8,98.0,0,0.000,1830,90,0.03
